"","notact_004","notact_007","notact_008","notact_009","notact_010","notact_011","notact_014","act12h_018","act12h_019","act12h_020","act24h_023","act48h_026","act48h_027","act72h_028","act72h_029","act72h_030","act96h_032","act96h_034"
"A1BG",4.56798188186224,5.9821684838393,4.91644717701212,6.35705667336362,4.42044608214002,4.59059110298712,4.47855956636914,4.53683590578532,8.16104453104253,2.23649250745158,3.2531468751395,1.07198816727774,3.73262314051128,0.563301279441903,0.57435767098182,1.14354950417412,1.48534524873463,1.02628630877059
"A2M",9.78692857192034,9.67373933174473,9.76515333025032,10.0434906418132,8.2888953792045,8.7716210183889,9.05816094087551,9.08853065317014,10.8862913579012,8.01825767161235,7.92776283268718,8.34137546830654,7.00737541492757,6.81349032276533,7.11702388975499,6.70612981142591,7.82949829957177,7.82439896162678
"AAAS",3.49362630758901,4.92213110547619,3.42669812778192,5.00525644713194,2.94202819461022,4.88890919428815,3.85026103373571,4.41227814142286,4.21846185182833,4.92393900710401,4.50510592329297,5.57597069707067,5.91568123612362,5.57121405232565,5.83967125154197,5.56001466515974,5.24514722417458,5.05128128103847
"AACS",1.58293192541875,2.37339606952587,1.7365102305477,2.68215092457144,2.31206973470715,3.0653783582424,2.02773342149668,3.22969299785096,1.5215746191577,1.49341976160434,2.71517819764481,3.0055148304973,2.85882675250163,3.28583414578348,3.82598227493901,2.79716454843584,4.42958370000702,3.86238735834982
"AAGAB",0,0,0,0,1.97217961431147,2.27142072905255,0,3.74566147617673,1.50934287598918,2.42384592062508,3.12574187148105,1.14593035151416,3.26661752135755,3.70137767072839,3.43853508054028,3.19838062969838,3.37781717991937,3.25995657797531
"AAK1",8.44632147563728,9.05403581899684,8.58772257767422,8.86843052884716,8.88020813944059,8.40702803740697,8.32596796823589,7.76545880793671,7.96287383773855,7.75215214073193,7.08432964911257,6.35007421392147,6.23190694520345,6.77127937364318,6.84063489675957,6.38591256642001,7.08126954863298,7.27471191459191
"AAMDC",2.18538176947652,4.03160596183688,3.01195615917132,2.96233564720838,3.14349010649556,2.42740529124636,4.99235598482288,3.07606294962407,3.08406741554925,3.92235577028816,0,1.34029388893627,1.83084373976848,1.46482922096669,1.37799977504607,2.52478515520232,2.16526239000142,1.48848030437271
"AAMP",4.91631645967992,4.23569523885745,5.99723168535317,5.09652900397885,4.65205812303052,4.26126762082002,5.21066074164372,5.61813390705972,5.66939920918285,4.61245812051804,6.61184789752216,5.87494378736176,5.95649989631322,5.45149650534363,5.35331112464021,5.55620871141834,5.60199659545262,4.04419084100296
"AAR2",4.30267464678231,3.88798150993239,3.60218136405466,2.53615313425942,4.43839526188521,4.2386977941109,1.73367093475691,2.7025590405182,2.42103171384684,2.77543529318376,4.28149814151617,3.58793847659072,4.26698907506714,3.90434122502947,4.15638571690051,3.96088818155018,2.10428666127609,3.38444947047561
"AARS2",5.97329228501769,5.79936708631356,5.51431509371194,6.73880903013054,5.97873382666296,5.27824750391584,5.72032103943498,5.40426081127279,5.62415352931543,5.44257905897209,5.02232617659814,5.13537130965525,4.90522353929033,5.36487794425209,5.42787196233686,5.21025659120287,4.82120738065405,5.52231194128099
