"","sex:Male_vs_Female","weight_g:high_vs_low","length_cm:high_vs_low","ab_fat:high_vs_low","other_fat:high_vs_low","total_fat:high_vs_low"
"F2_2","Female","low","high","high","high","high"
"F2_3","Female","low","high","low","low","low"
"F2_14","Female","low","low","low","low","low"
"F2_15","Female","high","low","high","high","high"
"F2_19","Female","low","low","high","low","low"
"F2_20","Female","high","low","high","high","high"
"F2_23","Female","low","low","high","high","high"
"F2_24","Female","low","low","high","high","high"
"F2_26","Female","low","low","high","high","high"
"F2_37","Female","low","low","low","low","low"
"F2_42","Female","low","low","high","high","high"
"F2_43","Female","low","high","low","low","low"
"F2_45","Female","high","low","high","high","high"
"F2_46","Female","low","low","low","low","low"
"F2_47","Female","low","low","low","low","low"
"F2_48","Female","low","low","low","low","low"
"F2_51","Female","low","high","high","high","high"
"F2_52","Female","low","high","high","high","high"
"F2_54","Female","high","high","high","high","high"
"F2_63","Female","low","high","high","high","high"
"F2_65","Female","low","high","high","high","high"
"F2_66","Female","low","low","low","high","high"
"F2_68","Female","low","low","low","high","high"
"F2_69","Female","low","low","low","high","high"
"F2_70","Female","low","low","low","low","low"
"F2_71","Female","low","low",NA,"high",NA
"F2_72","Female","low","low","low","high","low"
"F2_78","Female","low","low","high","low","low"
"F2_79","Female","low","high","high","high","high"
"F2_80","Female","low","high","high","high","high"
"F2_81","Female","low","low","high","high","high"
"F2_83","Female","low","high","high","low","high"
"F2_86","Female","low","low","high","low","low"
"F2_87","Female","low","high","low","low","low"
"F2_88","Female","high","high","high","high","high"
"F2_89","Female","low","low","low","low","low"
"F2_107","Female","low","low","high","high","high"
"F2_108","Female","low","high","high","high","high"
"F2_109","Female","low","low","high","high","high"
"F2_110","Female","low","low","high","low","high"
"F2_111","Female","low","low","low","low","low"
"F2_112","Female","low","high","low","low","low"
"F2_117","Female","low","low",NA,"high",NA
"F2_119","Female","low","low","high","high","high"
"F2_125","Female","high","low","high","high","high"
"F2_126","Female","low","low","high","high","high"
"F2_127","Female","low","low","high","low","high"
"F2_141","Female","low","low","high","low","low"
"F2_142","Female","low","low","low","low","low"
"F2_143","Female","low","high","high","low","high"
"F2_144","Female",NA,NA,"low","low","low"
"F2_145","Female",NA,NA,"high","low","low"
"F2_154","Female","low","low","high","high","high"
"F2_155","Female","low","low","low","low","low"
"F2_156","Female","low","high","high","high","high"
"F2_157","Female","low","low","low","low","low"
