"","sex","weight_g","length_cm","ab_fat","other_fat","total_fat","comments"
"F2_2","Female",38,10.5,3.81,2.78,6.59,NA
"F2_3","Female",33.5,10.8,1.7,2.05,3.75,NA
"F2_14","Female",33.9,10,1.29,1.67,2.96,NA
"F2_15","Female",44.3,10.3,3.62,3.34,6.96,NA
"F2_19","Female",32.9,9.7,2.08,1.85,3.93,NA
"F2_20","Female",44.8,10.3,3.72,3.2,6.92,"yellow intestine"
"F2_23","Female",36.9,10,2.07,2.8,4.87,NA
"F2_24","Female",39.5,10,2.79,2.62,5.41,NA
"F2_26","Female",42.5,9.9,2.68,4.56,7.24,NA
"F2_37","Female",25.7,9.4,0.42,0.6,1.02,"black coat"
"F2_42","Female",39.4,10.2,2.99,2.8,5.79,NA
"F2_43","Female",35.3,10.7,1.32,1.56,2.88,"black coat"
"F2_45","Female",45.8,10.4,4.13,2.9,7.03,NA
"F2_46","Female",26.1,9.7,0.94,0.82,1.76,NA
"F2_47","Female",23.9,9.2,0.67,0.9,1.57,"black coat"
"F2_48","Female",27.5,9.6,0.77,0.95,1.72,"malocclusion"
"F2_51","Female",37.9,10.5,1.87,3.56,5.43,NA
"F2_52","Female",38.5,10.8,1.78,3.09,4.87,NA
"F2_54","Female",46.4,10.5,2.84,5.9,8.74,NA
"F2_63","Female",43.2,10.5,1.89,3.97,5.86,NA
"F2_65","Female",40.4,10.5,1.71,4.44,6.15,"black, adjust ab fat up"
"F2_66","Female",38.9,9.8,1.59,4.21,5.8,"66-67 muscle"
"F2_68","Female",32,9.9,1.54,2.75,4.29,NA
"F2_69","Female",34.9,9.9,1.6,3.22,4.82,NA
"F2_70","Female",23.9,9.8,0.53,1.4,1.93,"black, malocclusion?"
"F2_71","Female",40.9,10,NA,4.66,NA,NA
"F2_72","Female",30.9,9.7,1.67,2.43,4.1,"malocclusion?"
"F2_78","Female",37.1,10,1.79,2.19,3.98,"yellow liver"
"F2_79","Female",38.7,11,2.68,2.34,5.02,NA
"F2_80","Female",42.7,10.5,4.1,4.74,8.84,"white liver"
"F2_81","Female",33.7,10.2,1.86,2.38,4.24,"muscle switched w 82"
"F2_83","Female",39,10.5,3.93,2.18,6.11,"white liver"
"F2_86","Female",34.8,10,2.01,1.9,3.91,NA
"F2_87","Female",32.5,10.5,1.51,1.57,3.08,NA
"F2_88","Female",46,10.8,4.11,2.87,6.98,NA
"F2_89","Female",28.3,9.5,1.09,1.06,2.15,"slight malocclusion"
"F2_107","Female",43.6,10.3,3.47,2.58,6.05,NA
"F2_108","Female",40.6,10.7,3.96,2.45,6.41,NA
"F2_109","Female",43.6,10.3,2.96,3.19,6.15,NA
"F2_110","Female",37.1,10.3,2.57,2.07,4.64,"aorta switched w/111"
"F2_111","Female",33.8,10,1.28,1.53,2.81,NA
"F2_112","Female",26.8,10.5,0.41,0.58,0.99,"oversized spleen"
"F2_117","Female",38,10.2,NA,2.55,NA,NA
"F2_119","Female",40.3,10.2,2.85,3.35,6.2,NA
"F2_125","Female",44.1,10.4,3.5,2.67,6.17,"large spleen"
"F2_126","Female",43.1,10.4,3.47,3.92,7.39,NA
"F2_127","Female",33.4,9.9,1.98,2.17,4.15,NA
"F2_141","Female",36,10.2,2.31,1.41,3.72,NA
"F2_142","Female",24.5,9.9,0.4,0.25,0.65,NA
"F2_143","Female",43.1,10.5,3.23,1.55,4.78,NA
"F2_144","Female",NA,NA,1.52,0.98,2.5,NA
"F2_145","Female",NA,NA,1.98,1.89,3.87,NA
"F2_154","Female",42.9,10.4,2.75,2.54,5.29,NA
"F2_155","Female",31.8,10.2,1.55,1.55,3.1,NA
"F2_156","Female",40.9,10.6,3.01,2.84,5.85,NA
"F2_157","Female",22.2,9.8,0.15,0.39,0.54,NA
"F2_162","Female",44.6,10,2.74,2.3,5.04,NA
"F2_163","Female",53.1,10.7,6.58,3.77,10.35,"large spleen"
