"","feature","symbol","human_ortholog","gene_title","chr","source","gene_name","data_type"
"mir:hsa-mir-205","mir:hsa-mir-205","HSA-MIR-205","HSA-MIR-205",NA,NA,NA,"mir:hsa-mir-205","mir"
"mir:hsa-mir-9-1","mir:hsa-mir-9-1","HSA-MIR-9-1","HSA-MIR-9-1",NA,NA,NA,"mir:hsa-mir-9-1","mir"
"mir:hsa-mir-9-2","mir:hsa-mir-9-2","HSA-MIR-9-2","HSA-MIR-9-2",NA,NA,NA,"mir:hsa-mir-9-2","mir"
"mir:hsa-mir-196a-1","mir:hsa-mir-196a-1","HSA-MIR-196A-1","HSA-MIR-196A-1",NA,NA,NA,"mir:hsa-mir-196a-1","mir"
"mir:hsa-mir-375","mir:hsa-mir-375","HSA-MIR-375","HSA-MIR-375",NA,NA,NA,"mir:hsa-mir-375","mir"
"mir:hsa-mir-150","mir:hsa-mir-150","HSA-MIR-150","HSA-MIR-150",NA,NA,NA,"mir:hsa-mir-150","mir"
"mir:hsa-mir-203","mir:hsa-mir-203","HSA-MIR-203","HSA-MIR-203",NA,NA,NA,"mir:hsa-mir-203","mir"
"mir:hsa-mir-452","mir:hsa-mir-452","HSA-MIR-452","HSA-MIR-452",NA,NA,NA,"mir:hsa-mir-452","mir"
"mir:hsa-mir-210","mir:hsa-mir-210","HSA-MIR-210","HSA-MIR-210",NA,NA,NA,"mir:hsa-mir-210","mir"
"mir:hsa-mir-149","mir:hsa-mir-149","HSA-MIR-149","HSA-MIR-149",NA,NA,NA,"mir:hsa-mir-149","mir"
"mir:hsa-mir-3065","mir:hsa-mir-3065","HSA-MIR-3065","HSA-MIR-3065",NA,NA,NA,"mir:hsa-mir-3065","mir"
"mir:hsa-mir-486","mir:hsa-mir-486","HSA-MIR-486","HSA-MIR-486",NA,NA,NA,"mir:hsa-mir-486","mir"
"mir:hsa-mir-429","mir:hsa-mir-429","HSA-MIR-429","HSA-MIR-429",NA,NA,NA,"mir:hsa-mir-429","mir"
"mir:hsa-mir-30a","mir:hsa-mir-30a","HSA-MIR-30A","HSA-MIR-30A",NA,NA,NA,"mir:hsa-mir-30a","mir"
