"","feature","symbol","human_ortholog","gene_title","chr","source","gene_name","uniprot"
"Trygn16","Trygn16","Prss1","PRSS1","serine protease 1 (trypsin 1)","6","org.Mm.eg.db","Trygn16","B9EJ35;Q9Z1R9"
"Try4","Try4","Prss3","PRSS3","serine protease 3","6","org.Mm.eg.db","Try4","Q3V2G3;Q4G0C2;Q792Z0"
"Prss2","Prss2","Prss2","PRSS2","serine protease 2","6","org.Mm.eg.db","Prss2","P07146;Q3V2E0;Q792Y6"
"Reg1","Reg1","Reg1;Zc3h12a","REG1A","regenerating islet-derived 1; zinc finger CCCH type containing 12A","6;4","org.Mm.eg.db","Reg1","P43137;Q3TV26;Q3U8J3;Q3UE76;Q5D1E7;Q8JZW9;Q922T4"
"Ela3b","Ela3b","Cela3b","CELA3B","chymotrypsin-like elastase family, member 3B","4","org.Mm.eg.db","Ela3b","Q7TNI0;Q9CQ52;Q9D7T9"
"Cuzd1","Cuzd1","Cuzd1","CUZD1","CUB and zona pellucida-like domains 1","7","org.Mm.eg.db","Cuzd1","B2RU69;P70412;Q9CTZ7"
"Cel","Cel","Cel","CEL","carboxyl ester lipase","2","org.Mm.eg.db","Cel","Q3V2H7;Q64285;Q922R3"
"Cpa1","Cpa1","Cpa1","CPA1","carboxypeptidase A1, pancreatic","6","org.Mm.eg.db","Cpa1","Q7TPZ8"
"Ctrl","Ctrl","Ctrl","CTRL","chymotrypsin-like","8","org.Mm.eg.db","Ctrl","Q9D7P8;Q9D960;Q9ER05"
"Gp2","Gp2","Gp2","GP2","glycoprotein 2 zymogen granule membrane","7","org.Mm.eg.db","Gp2","A0A0R4J0B9;Q9D733"
"Spink3","Spink3","Spink1","SPINK1","serine peptidase inhibitor, Kazal type 1","18","org.Mm.eg.db","Spink3","P09036;Q5M9M3"
"2210010C04Rik","2210010C04Rik","Prss3b","","serine protease 3B","6","org.Mm.eg.db","2210010C04Rik","Q9CPN9;Q9D7Y7"
"Fsp27","Fsp27","Cidec","CIDEC","cell death-inducing DFFA-like effector c","6","org.Mm.eg.db","Fsp27","P56198;Q499X5;Q8BNV7;E9QMZ0"
"Sqle","Sqle","Sqle","SQLE","squalene epoxidase","15","org.Mm.eg.db","Sqle","P52019;Q3TQK8;Q3TSS7"
"Sprr1a","Sprr1a","Sprr1a","SPRR1A","small proline-rich protein 1A","3","org.Mm.eg.db","Sprr1a","Q3UMN4;Q62266"
"Fmo3","Fmo3","Fmo3","FMO3","flavin containing monooxygenase 3","1","org.Mm.eg.db","Fmo3","P97501;Q3UEN4"
"Ubd","Ubd","Ubd","UBD","ubiquitin D","17","org.Mm.eg.db","Ubd","P63072;Q4FJZ5;Q9WV10"
"Clca3","Clca3","Clca1","CLCA1","chloride channel accessory 1","3","org.Mm.eg.db","Clca3","O88826;Q8R049;Q9D7Z6"
"Eml5","Eml5","Eml5","EML5","echinoderm microtubule associated protein like 5","12","org.Mm.eg.db","Eml5","B2RY88;Q8BQM8;Q8BRL0;Q8R2W0"
"Ly6d","Ly6d","Ly6d","LY6D","lymphocyte antigen 6 family member D","15","org.Mm.eg.db","Ly6d","P35459"
"4933425F03Rik","4933425F03Rik","Scara5","SCARA5","scavenger receptor class A, member 5","14","org.Mm.eg.db","4933425F03Rik","Q8K299;Q8BZZ2;Q8R330;Q91WD6;Q9CUC3;Q9D4G8"
"Arpc3","Arpc3","Arpc3","ARPC3","actin related protein 2/3 complex, subunit 3","5","org.Mm.eg.db","Arpc3","H7BWZ3;Q3TAT0;Q9JM76"
"Nnmt","Nnmt","Nnmt","NNMT","nicotinamide N-methyltransferase","9","org.Mm.eg.db","Nnmt","D3YX59;O55239;Q9D9X3"
"Myh2","Myh2","Myh2","MYH2","myosin, heavy polypeptide 2, skeletal muscle, adult","11","org.Mm.eg.db","Myh2","B2RWX0;G3UW82"
"Sdcbp2","Sdcbp2","Trappc4;Sdcbp2","TRAPPC4","trafficking protein particle complex 4; syndecan binding protein (syntenin) 2","9;2","org.Mm.eg.db","Sdcbp2","Q3V493;Q544R8;Q9DB31;Q9ES56;Q3UN51;Q99JZ0"
"Agr2","Agr2","Agr2","AGR2","anterior gradient 2","12","org.Mm.eg.db","Agr2","A2CGA2;O88312"
"5330410G16Rik","5330410G16Rik","Tmem59l","TMEM59L","transmembrane protein 59-like","8","org.Mm.eg.db","5330410G16Rik","Q7TNI2"
"Hamp","Hamp","Hamp","HAMP","hepcidin antimicrobial peptide","7","org.Mm.eg.db","Hamp","Q9EQ21"
"Slpi","Slpi","Slpi","SLPI","secretory leukocyte peptidase inhibitor","2","org.Mm.eg.db","Slpi","O09081;O09082;P97430;Q548X8"
"Il22ra2","Il22ra2","Il22ra2","IL22RA2","interleukin 22 receptor, alpha 2","10","org.Mm.eg.db","Il22ra2","Q08AV1;Q3UTW4;Q3UU14;Q3V3G3;Q7TNI5;Q80XF5"
"Defb1","Defb1","Defb1","DEFB1","defensin beta 1","8","org.Mm.eg.db","Defb1","P56386;Q3UQE2"
"Aicda","Aicda","Aicda","AICDA","activation-induced cytidine deaminase","6","org.Mm.eg.db","Aicda","Q8NHF9;Q9WVE0"
"Krt1-23","Krt1-23","Krt31c;Krt1","","keratin 31 complex; keratin 1","15","org.Mm.eg.db","Krt1-23","P04104;Q149E0;Q9D2K8"
"A430081C19Rik","A430081C19Rik","Agbl2","AGBL2","ATP/GTP binding protein-like 2","2","org.Mm.eg.db","A430081C19Rik","A0A0B4J1L6;A2AH35;Q09M08;Q09M09;Q09M10;Q09M11;Q09M12;Q8C529;Q8C9X4;Q8CDE6;Q8CDF6;Q8CDK2;Q8CDQ1"
"Col1a1","Col1a1","Col1a1","COL1A1","collagen, type I, alpha 1","11","org.Mm.eg.db","Col1a1","P11087;Q53WT0;Q60635;Q61367;Q61427;Q63919;Q6PCL3;Q810J9"
"Pap","Pap","Asap1;Acp3;Papolb;Mrps30;Tusc2;Asap2;Pdap1","ASAP1","ArfGAP with SH3 domain, ankyrin repeat and PH domain1; acid phosphatase 3; poly (A) polymerase beta (testis specific); mitochondrial ribosomal protein S30; tumor suppressor 2, mitochondrial calcium regulator; ArfGAP with SH3 domain, ankyrin repeat and PH domain 2; PDGFA associated protein 1","15;9;5;13;12","org.Mm.eg.db","Pap","H3BKE6;Q3UJA5;E9QN63;H3BL41;E9QMJ1;E9QMI7;O08612;Q505F0;Q80TG8;Q80UV6;Q99LV8;Q9QWY8;Q9Z2B6;H3BJY2;H3BKD4;A4QPG2;B8JJZ5;B8JJZ6;Q8C682;Q8CE08;Q9QXH7;A1L349;Q9R1R3;Q9WVP6;B2KF79;Q3U9U4;Q9CYS8;Q9D0G0;Q9JJQ2;A0A0A6YWP5;Q542N4;Q9WVF8;D3YX85;Q3UH05;Q501K1;Q66JN2;Q7SIG6;E9PX52;Q3UH27;A0JLS1;B2RTB0;Q3KQJ5;Q3UHX2"
"Spp1","Spp1","Spp1","SPP1","secreted phosphoprotein 1","5","org.Mm.eg.db","Spp1","Q3UBR1;Q3UZY3;F8WIP8;P10923;P19008;Q547B5;Q91VH4"
"Mmp12","Mmp12","Mmp12","MMP12","matrix metallopeptidase 12","9","org.Mm.eg.db","Mmp12","P34960;Q3TCW6;Q3TB28;Q3TBV6;Q3TBV9;Q3TD61;Q3U1S8;Q3U1S9;Q3U2R8;Q3UBC5;Q4FJM7;Q8BJ92;Q8BJB3;Q8BJB6;Q8BJB8;Q8BJB9;Q8VED6"
"Gsta2","Gsta2","Gsta2","GSTA5","glutathione S-transferase, alpha 2 (Yc2)","9","org.Mm.eg.db","Gsta2","P10648;Q6P8Q1;Q8K0V9"
"Cnga1","Cnga1","Cnga1","CNGA1","cyclic nucleotide gated channel alpha 1","5","org.Mm.eg.db","Cnga1","B9EJ09;P29974;Q60776"
"Cpb1","Cpb1","Capzb","CAPZB","capping actin protein of muscle Z-line subunit beta","4","org.Mm.eg.db","Cpb1","A2AMV7;P47757;Q3TVK4;Q923G3"
