"","gene_name","gene_title","gene_biotype","chr","pos","tx_len","map"
"A1BG","A1BG","alpha-1-B glycoprotein","protein_coding","19","58345182","2592","19q13.43"
"A2M","A2M","alpha-2-macroglobulin","protein_coding","12","9067707","4573","12p13.31"
"AAAS","AAAS","aladin WD repeat nucleoporin","protein_coding","12","53307459","1788","12q13.13"
"AACS","AACS","acetoacetyl-CoA synthetase","protein_coding","12","125065434","2682","12q24.31"
"AAGAB","AAGAB","alpha and gamma adaptin binding protein","protein_coding","15","67200674","3209","15q23"
"AAK1","AAK1","AP2 associated kinase 1","protein_coding","2","69457996","7026","2p13.3"
"AAMDC","AAMDC","adipogenesis associated Mth938 domain containing","protein_coding","11","77821113","583","11q14.1"
"AAMP","AAMP","angio associated migratory cell protein","protein_coding","2","218264128","1794","2q35"
"AAR2","AAR2","AAR2 splicing factor","protein_coding","20","36236416","2626","20q11.23"
"AARS2","AARS2","alanyl-tRNA synthetase 2, mitochondrial","protein_coding","6","44298730","4782","6p21.1"
"AARSD1","AARSD1","alanyl-tRNA synthetase domain containing 1","protein_coding","17","42950525","1201","17q21.31"
"AASDH","AASDH","aminoadipate-semialdehyde dehydrogenase","protein_coding","4","56338290","3112","4q12"
"AASDHPPT","AASDHPPT","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase","protein_coding","11","106077661","2638","11q22.3"
"AASS","AASS","aminoadipate-semialdehyde synthase","protein_coding","7","122073549","5559","7q31.32"
"AATF","AATF","apoptosis antagonizing transcription factor","protein_coding","17","36948953","2141","17q12"
"ABAT","ABAT","4-aminobutyrate aminotransferase","protein_coding","16","8720712","5199","16p13.2"
"ABCB10","ABCB10","ATP binding cassette subfamily B member 10","protein_coding","1","229516581","3857","1q42.13"
"ABCB6","ABCB6","ATP binding cassette subfamily B member 6 (Langereis blood group)","protein_coding","2","219209771","3896","2q35"
"ABCB7","ABCB7","ATP binding cassette subfamily B member 7","protein_coding","X","75051048","2463","Xq13.3"
"ABCB8","ABCB8","ATP binding cassette subfamily B member 8","protein_coding","7","151028449","3727","7q36.1"
"ABCC1","ABCC1","ATP binding cassette subfamily C member 1","protein_coding","16","15949615","2358","16p13.11"
"ABCC4","ABCC4","ATP binding cassette subfamily C member 4","protein_coding","13","95019834","3334","13q32.1"
"ABCD1","ABCD1","ATP binding cassette subfamily D member 1","protein_coding","X","153724855","3664","Xq28"
"ABCD2","ABCD2","ATP binding cassette subfamily D member 2","protein_coding","12","39550032","5341","12q12"
"ABCD3","ABCD3","ATP binding cassette subfamily D member 3","protein_coding","1","94418376","3250","1p21.3"
"ABCD4","ABCD4","ATP binding cassette subfamily D member 4","protein_coding","14","74285268","2094","14q24.3"
"ABCE1","ABCE1","ATP binding cassette subfamily E member 1","protein_coding","4","145098310","4263","4q31.21"
"ABCF1","ABCF1","ATP binding cassette subfamily F member 1","protein_coding","6_GL000252v2_alt","1827268","2875","6p21.33"
"ABCF2","ABCF2","ATP binding cassette subfamily F member 2","protein_coding","7","151211483","2618","7q36.1"
"ABCF3","ABCF3","ATP binding cassette subfamily F member 3","protein_coding","3","184186074","2245","3q27.1"
"ABHD10","ABHD10","abhydrolase domain containing 10, depalmitoylase","protein_coding","3","111979025","2647","3q13.2"
"ABHD11","ABHD11","abhydrolase domain containing 11","protein_coding","7","73736094","1267","7q11.23"
"ABHD12","ABHD12","abhydrolase domain containing 12, lysophospholipase","protein_coding","20","25294742","1924","20p11.21"
"ABHD14B","ABHD14B","abhydrolase domain containing 14B","protein_coding","3","51968509","2070","3p21.2"
"ABHD15","ABHD15","abhydrolase domain containing 15","protein_coding","17","29560546","3355","17q11.2"
"ABHD16A","ABHD16A","abhydrolase domain containing 16A, phospholipase","protein_coding","6_GL000252v2_alt","2934718","1930","6p21.33"
"ABHD17A","ABHD17A","abhydrolase domain containing 17A, depalmitoylase","protein_coding","19","1876809","1514","19p13.3"
"ABHD5","ABHD5","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase","protein_coding","3","43690937","5353","3p21.33"
"ABI1","ABI1","abl interactor 1","protein_coding","10","26746595","3493","10p12.1"
"ABI3","ABI3","ABI family member 3","protein_coding","17","49210226","2100","17q21.32"
"ABL1","ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase","protein_coding","9","130713880","5634","9q34.12"
"ABLIM1","ABLIM1","actin binding LIM protein 1","protein_coding","10","114431111","4672","10q25.3"
"ABLIM2","ABLIM2","actin binding LIM protein family member 2","protein_coding","4","7965326","2985","4p16.1"
"ABR","ABR","ABR activator of RhoGEF and GTPase","protein_coding","17","1003518","3755","17p13.3"
"ABRACL","ABRACL","ABRA C-terminal like","protein_coding","6","139028744","843","6q24.1"
"ABT1","ABT1","activator of basal transcription 1","protein_coding","6","26596952","2263","6p22.2"
"ACAA1","ACAA1","acetyl-CoA acyltransferase 1","protein_coding","3","38122709","1680","3p22.2"
"ACAA2","ACAA2","acetyl-CoA acyltransferase 2","protein_coding","18","49782163","1934","18q21.1"
"ACACA","ACACA","acetyl-CoA carboxylase alpha","protein_coding","17_KI270857v1_alt","1320991","5808","17q12"
"ACACB","ACACB","acetyl-CoA carboxylase beta","protein_coding","12","109116586","6466","12q24.11"
"ACAD10","ACAD10","acyl-CoA dehydrogenase family member 10","protein_coding","12","111686052","2418","12q24.12"
"ACAD8","ACAD8","acyl-CoA dehydrogenase family member 8","protein_coding","11","134253567","1714","11q25"
